BBH 019
UT 2022/04/12 COS/FUV G140L
 14115.7 second exposure
16384 points

     Wavelength (A)            Flux (erg/s/cm^2/A)            Flux Err erg/s/cm^2/A()
       9.1143008               0.0000000                      0.0000000
       9.1792929               0.0000000                      0.0000000
       9.2442850               0.0000000                      0.0000000
       9.3092770               0.0000000                      0.0000000
       9.3742691               0.0000000                      0.0000000
       9.4392612               0.0000000                      0.0000000
       9.5042533               0.0000000                      0.0000000
       9.5692454               0.0000000                      0.0000000
       9.6342374               0.0000000                      0.0000000
       9.6992295               0.0000000                      0.0000000
       9.7642216               0.0000000                      0.0000000
       9.8292137               0.0000000                      0.0000000
       9.8942058               0.0000000                      0.0000000
       9.9591978               0.0000000                      0.0000000
       10.024190               0.0000000                      0.0000000
       10.089182               0.0000000                      0.0000000
       10.154174               0.0000000                      0.0000000
       10.219166               0.0000000                      0.0000000
       10.284158               0.0000000                      0.0000000
       10.349150               0.0000000                      0.0000000
       10.414142               0.0000000                      0.0000000
       10.479134               0.0000000                      0.0000000
       10.544127               0.0000000                      0.0000000
       10.609119               0.0000000                      0.0000000
       10.674111               0.0000000                      0.0000000
       10.739103               0.0000000                      0.0000000
       10.804095               0.0000000                      0.0000000
       10.869087               0.0000000                      0.0000000
       10.934079               0.0000000                      0.0000000
       10.999071               0.0000000                      0.0000000
       11.064063               0.0000000                      0.0000000
       11.129055               0.0000000                      0.0000000
       11.194047               0.0000000                      0.0000000
       11.259039               0.0000000                      0.0000000
       11.324032               0.0000000                      0.0000000
       11.389024               0.0000000                      0.0000000
       11.454016               0.0000000                      0.0000000
       11.519008               0.0000000                      0.0000000
       11.584000               0.0000000                      0.0000000
       11.648992               0.0000000                      0.0000000
       11.713984               0.0000000                      0.0000000
       11.778976               0.0000000                      0.0000000
       11.843968               0.0000000                      0.0000000
       11.908960               0.0000000                      0.0000000
       11.973952               0.0000000                      0.0000000
       12.038944               0.0000000                      0.0000000
       12.103936               0.0000000                      0.0000000
       12.168929               0.0000000                      0.0000000
       12.233921               0.0000000                      0.0000000
       12.298913               0.0000000                      0.0000000
       12.363905               0.0000000                      0.0000000
       12.428897               0.0000000                      0.0000000
       12.493889               0.0000000                      0.0000000
       12.558881               0.0000000                      0.0000000
       12.623873               0.0000000                      0.0000000
       12.688865               0.0000000                      0.0000000
       12.753857               0.0000000                      0.0000000
       12.818849               0.0000000                      0.0000000
       12.883841               0.0000000                      0.0000000
       12.948834               0.0000000                      0.0000000
       13.013826               0.0000000                      0.0000000
       13.078818               0.0000000                      0.0000000
       13.143810               0.0000000                      0.0000000
       13.208802               0.0000000                      0.0000000
       13.273794               0.0000000                      0.0000000
       13.338786               0.0000000                      0.0000000
       13.403778               0.0000000                      0.0000000
       13.468770               0.0000000                      0.0000000
       13.533762               0.0000000                      0.0000000
       13.598754               0.0000000                      0.0000000
       13.663746               0.0000000                      0.0000000
       13.728738               0.0000000                      0.0000000
       13.793731               0.0000000                      0.0000000
       13.858723               0.0000000                      0.0000000
       13.923715               0.0000000                      0.0000000
       13.988707               0.0000000                      0.0000000
       14.053699               0.0000000                      0.0000000
       14.118691               0.0000000                      0.0000000
       14.183683               0.0000000                      0.0000000
       14.248675               0.0000000                      0.0000000
       14.313667               0.0000000                      0.0000000
       14.378659               0.0000000                      0.0000000
       14.443651               0.0000000                      0.0000000
       14.508643               0.0000000                      0.0000000
       14.573636               0.0000000                      0.0000000
       14.638628               0.0000000                      0.0000000
       14.703620               0.0000000                      0.0000000
       14.768612               0.0000000                      0.0000000
       14.833604               0.0000000                      0.0000000
       14.898596               0.0000000                      0.0000000
       14.963588               0.0000000                      0.0000000
       15.028580               0.0000000                      0.0000000
       15.093572               0.0000000                      0.0000000
       15.158564               0.0000000                      0.0000000
       15.223556               0.0000000                      0.0000000
       15.288548               0.0000000                      0.0000000
       15.353540               0.0000000                      0.0000000
       15.418533               0.0000000                      0.0000000
       15.483525               0.0000000                      0.0000000
       15.548517               0.0000000                      0.0000000
       15.613509               0.0000000                      0.0000000
       15.678501               0.0000000                      0.0000000
       15.743493               0.0000000                      0.0000000
       15.808485               0.0000000                      0.0000000
       15.873477               0.0000000                      0.0000000
       15.938469               0.0000000                      0.0000000
       16.003461               0.0000000                      0.0000000
       16.068453               0.0000000                      0.0000000
       16.133445               0.0000000                      0.0000000
       16.198438               0.0000000                      0.0000000
       16.263430               0.0000000                      0.0000000
       16.328422               0.0000000                      0.0000000
